60	4794
110	4794
160	4794
210	4794
260	4794
310	4794
360	4794
410	4794
460	4794
510	4794
560	4794
610	4794
660	4794
710	4794
760	4794
810	4794
860	4794
910	4794
960	4794
1010	4794
1060	4794
1110	4794
1160	4794
1210	4794
1260	4794
1310	4794
1360	4794
1410	4794
1460	4794
1510	4794
1560	4794
1610	4794
1660	4794
1710	4794
1760	4794
1810	4794
1860	4794
1910	4794
1960	4794
2010	4794
2060	4794
2110	4794
2160	4794
2210	4794
2260	4794
2310	4794
2360	4794
2410	4794
2460	4794
2510	4794
2560	4794
2610	4794
2660	4794
2710	4794
2760	4794
2810	4794
2860	4794
2910	4794
2960	4794
3010	4794
3060	4794
3110	4794
3160	4794
3210	4794
3260	4794
3310	4794
3360	4794
3410	4794
3460	4794
3510	4794
3560	4794
3610	4794
3660	4794
3710	4794
3760	4794
3810	4794
3860	4794
3910	4794
3960	4794
4010	4794
4060	4794
4110	4794
4160	4794
4210	4794
4260	4794
4310	4794
4360	4794
4410	4794
4460	4794
4510	4794
4560	4794
4610	4794
4660	4794
4710	4794
4760	4794
4810	4794
4860	4794
4910	4794
4960	4794
5010	4794
